timestamp_iso,user_id,prefill_tokens,decode_tokens
2025-10-21T05:03:06,1,0,0
2025-10-21T05:03:06,2,0,0
2025-10-21T05:03:06,3,0,0
2025-10-21T05:03:06,4,0,0
2025-10-21T05:03:06,5,0,0
2025-10-21T05:03:06,6,0,0
2025-10-21T05:03:06,7,0,0
2025-10-21T05:03:06,8,0,0
2025-10-21T05:03:06,9,0,0
2025-10-21T05:03:06,10,0,0
2025-10-21T05:03:06,11,0,0
2025-10-21T05:03:06,12,0,0
2025-10-21T05:03:06,13,0,0
2025-10-21T05:03:06,14,0,0
2025-10-21T05:03:06,15,0,0
2025-10-21T05:03:06,16,0,0
2025-10-21T05:03:06,17,0,0
2025-10-21T05:03:06,18,0,0
2025-10-21T05:03:06,19,0,0
2025-10-21T05:03:06,20,0,0
2025-10-21T05:03:07,1,571,39
2025-10-21T05:03:07,2,553,32
2025-10-21T05:03:07,3,548,24
2025-10-21T05:03:07,4,547,16
2025-10-21T05:03:07,5,541,8
2025-10-21T05:03:07,6,0,0
2025-10-21T05:03:07,7,0,0
2025-10-21T05:03:07,8,0,0
2025-10-21T05:03:07,9,0,0
2025-10-21T05:03:07,10,0,0
2025-10-21T05:03:07,11,0,0
2025-10-21T05:03:07,12,0,0
2025-10-21T05:03:07,13,0,0
2025-10-21T05:03:07,14,0,0
2025-10-21T05:03:07,15,0,0
2025-10-21T05:03:07,16,0,0
2025-10-21T05:03:07,17,0,0
2025-10-21T05:03:07,18,0,0
2025-10-21T05:03:07,19,0,0
2025-10-21T05:03:07,20,0,0
2025-10-21T05:03:08,1,571,50
2025-10-21T05:03:08,2,553,50
2025-10-21T05:03:08,3,548,50
2025-10-21T05:03:08,4,547,50
2025-10-21T05:03:08,5,541,44
2025-10-21T05:03:08,6,548,36
2025-10-21T05:03:08,7,554,28
2025-10-21T05:03:08,8,538,21
2025-10-21T05:03:08,9,546,14
2025-10-21T05:03:08,10,548,6
2025-10-21T05:03:08,11,0,0
2025-10-21T05:03:08,12,0,0
2025-10-21T05:03:08,13,0,0
2025-10-21T05:03:08,14,0,0
2025-10-21T05:03:08,15,0,0
2025-10-21T05:03:08,16,0,0
2025-10-21T05:03:08,17,0,0
2025-10-21T05:03:08,18,0,0
2025-10-21T05:03:08,19,0,0
2025-10-21T05:03:08,20,0,0
2025-10-21T05:03:09,1,571,50
2025-10-21T05:03:09,2,553,50
2025-10-21T05:03:09,3,548,50
2025-10-21T05:03:09,4,547,50
2025-10-21T05:03:09,5,541,50
2025-10-21T05:03:09,6,548,50
2025-10-21T05:03:09,7,554,50
2025-10-21T05:03:09,8,538,50
2025-10-21T05:03:09,9,546,50
2025-10-21T05:03:09,10,548,43
2025-10-21T05:03:09,11,546,36
2025-10-21T05:03:09,12,571,28
2025-10-21T05:03:09,13,551,21
2025-10-21T05:03:09,14,561,14
2025-10-21T05:03:09,15,548,6
2025-10-21T05:03:09,16,0,0
2025-10-21T05:03:09,17,0,0
2025-10-21T05:03:09,18,0,0
2025-10-21T05:03:09,19,0,0
2025-10-21T05:03:09,20,0,0
2025-10-21T05:03:10,1,571,50
2025-10-21T05:03:10,2,553,50
2025-10-21T05:03:10,3,548,50
2025-10-21T05:03:10,4,547,50
2025-10-21T05:03:10,5,541,50
2025-10-21T05:03:10,6,548,50
2025-10-21T05:03:10,7,554,50
2025-10-21T05:03:10,8,538,50
2025-10-21T05:03:10,9,546,50
2025-10-21T05:03:10,10,548,50
2025-10-21T05:03:10,11,546,50
2025-10-21T05:03:10,12,571,50
2025-10-21T05:03:10,13,551,50
2025-10-21T05:03:10,14,561,50
2025-10-21T05:03:10,15,548,50
2025-10-21T05:03:10,16,0,0
2025-10-21T05:03:10,17,0,0
2025-10-21T05:03:10,18,0,0
2025-10-21T05:03:10,19,0,0
2025-10-21T05:03:10,20,0,0
2025-10-21T05:03:11,1,1139,87
2025-10-21T05:03:11,2,1096,78
2025-10-21T05:03:11,3,1115,71
2025-10-21T05:03:11,4,1093,63
2025-10-21T05:03:11,5,1076,56
2025-10-21T05:03:11,6,548,50
2025-10-21T05:03:11,7,554,50
2025-10-21T05:03:11,8,538,50
2025-10-21T05:03:11,9,546,50
2025-10-21T05:03:11,10,548,50
2025-10-21T05:03:11,11,546,50
2025-10-21T05:03:11,12,571,50
2025-10-21T05:03:11,13,551,50
2025-10-21T05:03:11,14,561,50
2025-10-21T05:03:11,15,548,50
2025-10-21T05:03:11,16,0,0
2025-10-21T05:03:11,17,0,0
2025-10-21T05:03:11,18,0,0
2025-10-21T05:03:11,19,0,0
2025-10-21T05:03:11,20,0,0
2025-10-21T05:03:12,1,1139,100
2025-10-21T05:03:12,2,1096,100
2025-10-21T05:03:12,3,1115,100
2025-10-21T05:03:12,4,1093,100
2025-10-21T05:03:12,5,1076,94
2025-10-21T05:03:12,6,1104,86
2025-10-21T05:03:12,7,1117,79
2025-10-21T05:03:12,8,1082,71
2025-10-21T05:03:12,9,1086,63
2025-10-21T05:03:12,10,1126,55
2025-10-21T05:03:12,11,546,50
2025-10-21T05:03:12,12,571,50
2025-10-21T05:03:12,13,551,50
2025-10-21T05:03:12,14,561,50
2025-10-21T05:03:12,15,548,50
2025-10-21T05:03:12,16,0,0
2025-10-21T05:03:12,17,0,0
2025-10-21T05:03:12,18,0,0
2025-10-21T05:03:12,19,0,0
2025-10-21T05:03:12,20,0,0
2025-10-21T05:03:13,1,1139,100
2025-10-21T05:03:13,2,1096,100
2025-10-21T05:03:13,3,1115,100
2025-10-21T05:03:13,4,1093,100
