timestamp_iso,user_id,prefill_tokens,decode_tokens
2025-10-21T00:26:44,1,0,0
2025-10-21T00:26:44,2,0,0
2025-10-21T00:26:44,3,0,0
2025-10-21T00:26:44,4,0,0
2025-10-21T00:26:44,5,0,0
2025-10-21T00:26:44,6,0,0
2025-10-21T00:26:44,7,0,0
2025-10-21T00:26:44,8,0,0
2025-10-21T00:26:44,9,0,0
2025-10-21T00:26:44,10,0,0
2025-10-21T00:26:44,11,0,0
2025-10-21T00:26:44,12,0,0
2025-10-21T00:26:44,13,0,0
2025-10-21T00:26:44,14,0,0
2025-10-21T00:26:44,15,0,0
2025-10-21T00:26:44,16,0,0
2025-10-21T00:26:44,17,0,0
2025-10-21T00:26:44,18,0,0
2025-10-21T00:26:44,19,0,0
2025-10-21T00:26:44,20,0,0
2025-10-21T00:26:45,1,525,42
2025-10-21T00:26:45,2,551,34
2025-10-21T00:26:45,3,543,26
2025-10-21T00:26:45,4,542,17
2025-10-21T00:26:45,5,547,9
2025-10-21T00:26:45,6,0,0
2025-10-21T00:26:45,7,0,0
2025-10-21T00:26:45,8,0,0
2025-10-21T00:26:45,9,0,0
2025-10-21T00:26:45,10,0,0
2025-10-21T00:26:45,11,0,0
2025-10-21T00:26:45,12,0,0
2025-10-21T00:26:45,13,0,0
2025-10-21T00:26:45,14,0,0
2025-10-21T00:26:45,15,0,0
2025-10-21T00:26:45,16,0,0
2025-10-21T00:26:45,17,0,0
2025-10-21T00:26:45,18,0,0
2025-10-21T00:26:45,19,0,0
2025-10-21T00:26:45,20,0,0
2025-10-21T00:26:46,1,525,50
2025-10-21T00:26:46,2,551,50
2025-10-21T00:26:46,3,543,50
2025-10-21T00:26:46,4,542,50
2025-10-21T00:26:46,5,547,50
2025-10-21T00:26:46,6,554,43
2025-10-21T00:26:46,7,579,34
2025-10-21T00:26:46,8,557,26
2025-10-21T00:26:46,9,545,17
2025-10-21T00:26:46,10,538,8
2025-10-21T00:26:46,11,0,0
2025-10-21T00:26:46,12,0,0
2025-10-21T00:26:46,13,0,0
2025-10-21T00:26:46,14,0,0
2025-10-21T00:26:46,15,0,0
2025-10-21T00:26:46,16,0,0
2025-10-21T00:26:46,17,0,0
2025-10-21T00:26:46,18,0,0
2025-10-21T00:26:46,19,0,0
2025-10-21T00:26:46,20,0,0
2025-10-21T00:26:47,1,525,50
2025-10-21T00:26:47,2,551,50
2025-10-21T00:26:47,3,543,50
2025-10-21T00:26:47,4,542,50
2025-10-21T00:26:47,5,547,50
2025-10-21T00:26:47,6,554,50
2025-10-21T00:26:47,7,579,50
2025-10-21T00:26:47,8,557,50
2025-10-21T00:26:47,9,545,50
2025-10-21T00:26:47,10,538,50
2025-10-21T00:26:47,11,543,43
2025-10-21T00:26:47,12,558,34
2025-10-21T00:26:47,13,545,26
2025-10-21T00:26:47,14,547,17
2025-10-21T00:26:47,15,551,8
2025-10-21T00:26:47,16,0,0
2025-10-21T00:26:47,17,0,0
2025-10-21T00:26:47,18,0,0
2025-10-21T00:26:47,19,0,0
2025-10-21T00:26:47,20,0,0
2025-10-21T00:26:48,1,525,50
2025-10-21T00:26:48,2,551,50
2025-10-21T00:26:48,3,543,50
2025-10-21T00:26:48,4,542,50
2025-10-21T00:26:48,5,547,50
2025-10-21T00:26:48,6,554,50
2025-10-21T00:26:48,7,579,50
2025-10-21T00:26:48,8,557,50
2025-10-21T00:26:48,9,545,50
2025-10-21T00:26:48,10,538,50
2025-10-21T00:26:48,11,543,50
2025-10-21T00:26:48,12,558,50
2025-10-21T00:26:48,13,545,50
2025-10-21T00:26:48,14,547,50
2025-10-21T00:26:48,15,551,50
2025-10-21T00:26:48,16,0,0
2025-10-21T00:26:48,17,0,0
2025-10-21T00:26:48,18,0,0
2025-10-21T00:26:48,19,0,0
2025-10-21T00:26:48,20,0,0
2025-10-21T00:26:49,1,1085,93
2025-10-21T00:26:49,2,1107,84
2025-10-21T00:26:49,3,1097,75
2025-10-21T00:26:49,4,1099,66
2025-10-21T00:26:49,5,1102,57
2025-10-21T00:26:49,6,554,50
2025-10-21T00:26:49,7,579,50
2025-10-21T00:26:49,8,557,50
2025-10-21T00:26:49,9,545,50
2025-10-21T00:26:49,10,538,50
2025-10-21T00:26:49,11,543,50
2025-10-21T00:26:49,12,558,50
2025-10-21T00:26:49,13,545,50
2025-10-21T00:26:49,14,547,50
2025-10-21T00:26:49,15,551,50
2025-10-21T00:26:49,16,0,0
2025-10-21T00:26:49,17,0,0
2025-10-21T00:26:49,18,0,0
2025-10-21T00:26:49,19,0,0
2025-10-21T00:26:49,20,0,0
2025-10-21T00:26:50,1,1085,100
2025-10-21T00:26:50,2,1107,100
2025-10-21T00:26:50,3,1097,100
2025-10-21T00:26:50,4,1099,100
2025-10-21T00:26:50,5,1102,100
2025-10-21T00:26:50,6,1101,92
2025-10-21T00:26:50,7,1140,84
2025-10-21T00:26:50,8,1123,75
2025-10-21T00:26:50,9,1083,66
2025-10-21T00:26:50,10,1083,58
2025-10-21T00:26:50,11,543,50
2025-10-21T00:26:50,12,558,50
2025-10-21T00:26:50,13,545,50
2025-10-21T00:26:50,14,547,50
2025-10-21T00:26:50,15,551,50
2025-10-21T00:26:50,16,0,0
2025-10-21T00:26:50,17,0,0
2025-10-21T00:26:50,18,0,0
2025-10-21T00:26:50,19,0,0
2025-10-21T00:26:50,20,0,0
2025-10-21T00:26:51,1,1085,100
2025-10-21T00:26:51,2,1107,100
2025-10-21T00:26:51,3,1097,100
2025-10-21T00:26:51,4,1099,100
