timestamp,running_reqs,num_tokens,token_usage,throughput,queue_reqs
1761002151.7501373,3,1691,0.0038,4.6019,0
1761002152.4445565,4,2293,0.0052,233.2890,0
1761002153.0921159,4,2312,0.0052,250.1708,0
1761002153.7402298,4,2340,0.0053,246.8706,0
1761002154.3407283,2,1142,0.0026,249.7931,0
1761002155.4743872,2,1130,0.0025,48.5155,0
1761002156.1106942,4,2285,0.0051,202.7329,0
1761002156.7569141,4,2321,0.0052,247.5944,0
1761002157.4509974,4,2276,0.0051,230.5204,0
1761002158.0983496,4,2250,0.0051,250.2506,0
1761002158.5992677,1,575,0.0013,199.6339,0
1761002159.7700412,3,1730,0.0039,61.4979,0
1761002160.4609027,4,2261,0.0051,227.2531,0
1761002161.106099,4,2258,0.0051,249.5371,0
1761002161.7526152,4,2298,0.0052,247.4809,0
1761002162.3508203,3,1766,0.0040,252.4223,0
1761002163.483004,2,1105,0.0025,49.4620,0
1761002164.114745,4,2303,0.0052,196.2834,0
1761002164.758294,4,2291,0.0052,247.0679,0
1761002165.4025536,4,2301,0.0052,248.3475,0
1761002166.0937839,4,2278,0.0051,231.4718,0
1761002166.5979133,1,574,0.0013,214.2313,0
1761002167.76895,3,1705,0.0038,58.0683,0
1761002168.4093459,4,2297,0.0052,240.4769,0
1761002169.1038713,4,2272,0.0051,228.9338,0
1761002169.74871,4,2273,0.0051,249.6754,0
1761002170.3512635,3,1771,0.0040,252.2603,0
1761002171.4281693,1,570,0.0013,55.7153,0
1761002172.1135654,4,2255,0.0051,172.1634,0
1761002172.7562196,4,2271,0.0051,248.9680,0
1761002173.4005883,4,2302,0.0052,249.8575,0
1761002174.0508974,3,1707,0.0038,246.0373,0
1761002174.5993388,1,581,0.0013,209.6858,0
1761002175.7615185,3,1698,0.0038,54.2085,0
1761002176.4048483,4,2299,0.0052,233.1622,0
1761002177.0510206,4,2335,0.0053,249.1601,0
1761002177.7427125,4,2257,0.0051,231.3172,0
1761002178.3442504,3,1757,0.0040,259.3359,0
1761002179.427634,1,570,0.0013,59.0743,0
1761002180.0669954,3,1706,0.0038,175.1751,0
1761002180.7602656,4,2302,0.0052,233.6756,0
1761002181.4095314,4,2304,0.0052,246.4328,0
1761002182.0591094,4,2334,0.0053,249.3932,0
1761002182.6050882,1,581,0.0013,217.9577,0
1761002183.7804337,3,1712,0.0039,51.8997,0
1761002184.4271705,4,2311,0.0052,233.4802,0
1761002185.0758786,4,2318,0.0052,251.2692,0
1761002185.7719867,4,2293,0.0052,232.7228,0
1761002186.3682427,3,1744,0.0039,258.2790,0
1761002187.453193,1,570,0.0013,58.9889,0
1761002188.095264,3,1716,0.0039,175.9933,0
1761002188.7862456,4,2283,0.0051,230.1079,0
1761002189.44135,4,2280,0.0051,248.8158,0
1761002190.0931888,4,2288,0.0051,248.5281,0
1761002190.6408517,1,595,0.0013,215.4614,0
1761002191.8099515,3,1698,0.0038,53.0323,0
1761002192.4554186,4,2294,0.0052,233.9396,0
1761002193.1103132,4,2313,0.0052,247.3686,0
1761002193.8070455,4,2306,0.0052,235.3850,0
1761002194.4049356,3,1722,0.0039,259.2454,0
1761002195.4923112,1,562,0.0013,57.0181,0
1761002196.1858158,4,2277,0.0051,170.1505,0
1761002196.834496,4,2263,0.0051,246.6551,0
1761002197.4803982,4,2271,0.0051,250.8125,0
1761002198.1217723,3,1714,0.0039,251.0239,0
1761002198.6688628,1,599,0.0013,208.3756,0
1761002199.8543181,3,1714,0.0039,53.9878,0
1761002200.5049317,4,2322,0.0052,238.2373,0
1761002201.1983218,4,2278,0.0051,235.0773,0
1761002201.8406997,4,2277,0.0051,249.0751,0
1761002202.438706,3,1734,0.0039,254.1786,0
1761002203.5214956,1,561,0.0013,56.3361,0
1761002204.215582,4,2328,0.0052,170.0079,0
1761002204.8683443,4,2313,0.0052,249.7085,0
1761002205.5125344,4,2325,0.0052,251.4792,0
1761002206.2072687,4,2316,0.0052,231.7437,0
1761002206.711937,1,600,0.0014,221.9285,0
1761002207.8890657,3,1699,0.0038,56.0687,0
1761002208.5410352,4,2300,0.0052,239.2755,0
1761002209.2367337,4,2283,0.0051,232.8598,0
1761002209.8819687,4,2292,0.0052,249.5219,0
1761002210.4824378,3,1768,0.0040,251.4706,0
1761002211.5563364,1,558,0.0013,54.9401,0
1761002212.2456653,4,2272,0.0051,174.0828,0
1761002212.8916316,4,2301,0.0052,247.6915,0
1761002213.5353541,4,2277,0.0051,248.5548,0
1761002214.183944,3,1700,0.0038,248.2314,0
1761002214.733513,1,603,0.0014,205.6162,0
1761002215.9025261,3,1706,0.0038,54.7471,0
1761002216.5457838,4,2334,0.0053,236.2978,0
1761002217.1945388,3,1735,0.0039,248.1682,0
1761002217.8844333,4,2257,0.0051,231.9200,0
1761002218.4868014,3,1750,0.0039,253.9979,0
1761002219.564493,1,556,0.0013,59.3862,0
1761002220.2532322,4,2242,0.0050,166.9721,0
1761002220.8969753,4,2293,0.0052,248.5468,0
1761002221.544845,4,2311,0.0052,248.5074,0
1761002222.191542,4,2307,0.0052,247.4117,0
1761002222.7458558,1,599,0.0013,214.6803,0
1761002223.9210358,3,1693,0.0038,52.7579,0
1761002224.5646205,4,2323,0.0052,237.7314,0
1761002225.2126095,4,2309,0.0052,246.9181,0
1761002225.9069483,4,2268,0.0051,231.8757,0
1761002226.512542,3,1750,0.0039,255.9480,0
1761002227.5870702,1,569,0.0013,59.5611,0
1761002228.222802,3,1702,0.0038,176.1753,0
1761002228.9187315,4,2272,0.0051,231.3457,0
1761002229.5658343,4,2295,0.0052,247.2565,0
1761002230.2188187,4,2318,0.0052,249.6237,0
1761002230.7738965,1,580,0.0013,214.3848,0
1761002231.9425426,3,1700,0.0038,53.0529,0
