timestamp_iso,user_id,prefill_tokens,decode_tokens
2025-10-28T03:30:06,1,0,0
2025-10-28T03:30:06,2,0,0
2025-10-28T03:30:06,3,0,0
2025-10-28T03:30:06,4,0,0
2025-10-28T03:30:06,5,0,0
2025-10-28T03:30:06,6,0,0
2025-10-28T03:30:06,7,0,0
2025-10-28T03:30:06,8,0,0
2025-10-28T03:30:06,9,0,0
2025-10-28T03:30:06,10,0,0
2025-10-28T03:30:06,11,0,0
2025-10-28T03:30:06,12,0,0
2025-10-28T03:30:06,13,0,0
2025-10-28T03:30:06,14,0,0
2025-10-28T03:30:06,15,0,0
2025-10-28T03:30:06,16,0,0
2025-10-28T03:30:06,17,0,0
2025-10-28T03:30:06,18,0,0
2025-10-28T03:30:06,19,0,0
2025-10-28T03:30:06,20,0,0
2025-10-28T03:30:07,1,525,34
2025-10-28T03:30:07,2,552,28
2025-10-28T03:30:07,3,539,21
2025-10-28T03:30:07,4,554,13
2025-10-28T03:30:07,5,553,6
2025-10-28T03:30:07,6,0,0
2025-10-28T03:30:07,7,0,0
2025-10-28T03:30:07,8,0,0
2025-10-28T03:30:07,9,0,0
2025-10-28T03:30:07,10,0,0
2025-10-28T03:30:07,11,0,0
2025-10-28T03:30:07,12,0,0
2025-10-28T03:30:07,13,0,0
2025-10-28T03:30:07,14,0,0
2025-10-28T03:30:07,15,0,0
2025-10-28T03:30:07,16,0,0
2025-10-28T03:30:07,17,0,0
2025-10-28T03:30:07,18,0,0
2025-10-28T03:30:07,19,0,0
2025-10-28T03:30:07,20,0,0
2025-10-28T03:30:08,1,525,50
2025-10-28T03:30:08,2,552,50
2025-10-28T03:30:08,3,539,50
2025-10-28T03:30:08,4,554,50
2025-10-28T03:30:08,5,553,44
2025-10-28T03:30:08,6,555,37
2025-10-28T03:30:08,7,566,29
2025-10-28T03:30:08,8,544,22
2025-10-28T03:30:08,9,554,14
2025-10-28T03:30:08,10,552,7
2025-10-28T03:30:08,11,0,0
2025-10-28T03:30:08,12,0,0
2025-10-28T03:30:08,13,0,0
2025-10-28T03:30:08,14,0,0
2025-10-28T03:30:08,15,0,0
2025-10-28T03:30:08,16,0,0
2025-10-28T03:30:08,17,0,0
2025-10-28T03:30:08,18,0,0
2025-10-28T03:30:08,19,0,0
2025-10-28T03:30:08,20,0,0
2025-10-28T03:30:09,1,525,50
2025-10-28T03:30:09,2,552,50
2025-10-28T03:30:09,3,539,50
2025-10-28T03:30:09,4,554,50
2025-10-28T03:30:09,5,553,50
2025-10-28T03:30:09,6,555,50
2025-10-28T03:30:09,7,566,50
2025-10-28T03:30:09,8,544,50
2025-10-28T03:30:09,9,554,50
2025-10-28T03:30:09,10,552,43
2025-10-28T03:30:09,11,545,35
2025-10-28T03:30:09,12,563,27
2025-10-28T03:30:09,13,540,20
2025-10-28T03:30:09,14,547,13
2025-10-28T03:30:09,15,553,6
2025-10-28T03:30:09,16,0,0
2025-10-28T03:30:09,17,0,0
2025-10-28T03:30:09,18,0,0
2025-10-28T03:30:09,19,0,0
2025-10-28T03:30:09,20,0,0
2025-10-28T03:30:10,1,525,50
2025-10-28T03:30:10,2,552,50
2025-10-28T03:30:10,3,539,50
2025-10-28T03:30:10,4,554,50
2025-10-28T03:30:10,5,553,50
2025-10-28T03:30:10,6,555,50
2025-10-28T03:30:10,7,566,50
2025-10-28T03:30:10,8,544,50
2025-10-28T03:30:10,9,554,50
2025-10-28T03:30:10,10,552,50
2025-10-28T03:30:10,11,545,50
2025-10-28T03:30:10,12,563,50
2025-10-28T03:30:10,13,540,50
2025-10-28T03:30:10,14,547,49
2025-10-28T03:30:10,15,553,42
2025-10-28T03:30:10,16,541,35
2025-10-28T03:30:10,17,544,28
2025-10-28T03:30:10,18,552,21
2025-10-28T03:30:10,19,543,14
2025-10-28T03:30:10,20,565,6
2025-10-28T03:30:11,1,1068,86
2025-10-28T03:30:11,2,1109,78
2025-10-28T03:30:11,3,1100,71
2025-10-28T03:30:11,4,1103,63
2025-10-28T03:30:11,5,1092,56
2025-10-28T03:30:11,6,555,50
2025-10-28T03:30:11,7,566,50
2025-10-28T03:30:11,8,544,50
2025-10-28T03:30:11,9,554,50
2025-10-28T03:30:11,10,552,50
2025-10-28T03:30:11,11,545,50
2025-10-28T03:30:11,12,563,50
2025-10-28T03:30:11,13,540,50
2025-10-28T03:30:11,14,547,50
2025-10-28T03:30:11,15,553,50
2025-10-28T03:30:11,16,541,50
2025-10-28T03:30:11,17,544,50
2025-10-28T03:30:11,18,552,50
2025-10-28T03:30:11,19,543,50
