timestamp_start_iso,duration_s,kind,prompt_tokens,completion_tokens,total_tokens
1970-01-02T05:25:37.725,0.299607,good,447,23,470
1970-01-02T05:25:37.826,0.539497,good,439,112,551
1970-01-02T05:25:37.928,0.246406,good,471,52,523
1970-01-02T05:25:38.029,0.141538,good,455,32,487
1970-01-02T05:25:38.131,0.159699,good,448,39,487
1970-01-02T05:25:38.233,0.086018,good,420,23,443
1970-01-02T05:25:38.334,0.080460,good,438,24,462
1970-01-02T05:25:38.436,0.069795,good,436,20,456
1970-01-02T05:25:38.538,1.629369,good,432,566,998
1970-01-02T05:25:38.639,0.143884,good,436,39,475
1970-01-02T05:25:38.741,0.148491,good,428,40,468
1970-01-02T05:25:38.842,0.058403,good,440,12,452
1970-01-02T05:25:38.944,0.092135,good,452,27,479
1970-01-02T05:25:39.045,0.161321,good,438,47,485
1970-01-02T05:25:39.146,0.205214,good,447,65,512
1970-01-02T05:25:39.248,0.132466,good,442,35,477
1970-01-02T05:25:39.349,0.061204,good,440,13,453
1970-01-02T05:25:39.451,0.338833,good,471,123,594
1970-01-02T05:25:39.753,136.738707,good,472,32294,32766
1970-01-02T05:25:39.855,0.063506,good,442,10,452
1970-01-02T05:25:39.956,0.276315,good,466,83,549
1970-01-02T05:25:40.058,0.061723,good,479,12,491
1970-01-02T05:25:40.160,0.154339,good,481,43,524
1970-01-02T05:25:40.261,0.073730,good,450,19,469
1970-01-02T05:25:40.363,0.154081,good,447,44,491
1970-01-02T05:25:40.464,0.237771,good,436,70,506
1970-01-02T05:25:40.566,0.257946,good,428,78,506
1970-01-02T05:25:40.667,0.184423,good,450,56,506
1970-01-02T05:25:40.769,0.080490,good,454,22,476
1970-01-02T05:25:40.870,0.065169,good,455,16,471
1970-01-02T05:25:40.972,0.078424,good,444,21,465
1970-01-02T05:25:41.073,0.246693,good,456,73,529
1970-01-02T05:25:41.175,0.175561,good,447,52,499
1970-01-02T05:25:41.276,0.062329,good,453,14,467
1970-01-02T05:25:41.377,0.077440,good,474,21,495
1970-01-02T05:25:41.479,0.127416,good,449,42,491
1970-01-02T05:25:41.781,0.149011,good,476,41,517
1970-01-02T05:25:41.882,0.264775,good,429,80,509
1970-01-02T05:25:41.984,0.193725,good,451,59,510
1970-01-02T05:25:42.086,0.087401,good,464,24,488
1970-01-02T05:25:42.187,0.080493,good,448,22,470
1970-01-02T05:25:42.288,0.096563,good,435,28,463
1970-01-02T05:25:42.390,0.193818,good,446,60,506
1970-01-02T05:25:42.491,0.168728,good,448,49,497
1970-01-02T05:25:42.593,0.184473,good,452,54,506
1970-01-02T05:25:42.694,0.107710,good,434,32,466
1970-01-02T05:25:42.796,0.269643,good,456,83,539
1970-01-02T05:25:42.897,0.058956,good,453,12,465
1970-01-02T05:25:42.999,0.097128,good,432,29,461
1970-01-02T05:25:43.100,4.183135,good,450,1358,1808
1970-01-02T05:25:43.201,0.149790,good,441,39,480
1970-01-02T05:25:43.303,0.057696,good,438,10,448
1970-01-02T05:25:43.404,140.487514,good,428,32338,32766
1970-01-02T05:25:43.506,2.271291,good,445,751,1196
1970-01-02T05:25:43.808,0.411523,good,470,128,598
1970-01-02T05:25:43.909,0.064184,good,451,14,465
1970-01-02T05:25:44.011,0.082131,good,448,21,469
1970-01-02T05:25:44.111,0.064959,good,451,14,465
1970-01-02T05:25:44.213,0.281403,good,437,84,521
1970-01-02T05:25:44.314,0.084641,good,482,22,504
1970-01-02T05:25:44.416,0.200220,good,447,61,508
1970-01-02T05:25:44.517,0.079207,good,454,20,474
1970-01-02T05:25:44.619,0.110303,good,441,33,474
1970-01-02T05:25:44.720,0.139829,good,453,35,488
1970-01-02T05:25:44.821,0.158597,good,430,43,473
1970-01-02T05:25:44.922,0.721231,good,427,224,651
1970-01-02T05:25:45.024,1.020649,good,477,336,813
1970-01-02T05:25:45.125,141.860902,good,441,32325,32766
1970-01-02T05:25:45.227,0.201363,good,464,59,523
1970-01-02T05:25:45.328,0.184542,good,462,52,514
1970-01-02T05:25:45.430,0.223243,good,448,68,516
1970-01-02T05:25:45.531,0.089632,good,465,23,488
1970-01-02T05:25:45.833,0.411589,good,445,126,571
1970-01-02T05:25:45.935,0.096937,good,439,27,466
1970-01-02T05:25:46.036,0.093412,good,467,25,492
1970-01-02T05:25:46.137,0.037148,good,424,3,427
1970-01-02T05:25:46.238,0.059377,good,449,12,461
1970-01-02T05:25:46.340,0.060462,good,465,12,477
1970-01-02T05:25:46.442,0.354506,good,440,105,545
1970-01-02T05:25:46.543,0.055540,good,447,10,457
1970-01-02T05:25:46.644,0.188426,good,442,55,497
1970-01-02T05:25:46.746,0.163924,good,478,45,523
1970-01-02T05:25:46.847,0.246283,good,454,69,523
1970-01-02T05:25:46.949,0.289434,good,446,86,532
1970-01-02T05:25:47.050,0.070719,good,449,16,465
1970-01-02T05:25:47.152,0.061636,good,454,12,466
1970-01-02T05:25:47.253,0.138337,good,435,35,470
1970-01-02T05:25:47.355,0.173368,good,434,49,483
1970-01-02T05:25:47.456,0.179352,good,462,52,514
