timestamp_start_iso,duration_s,kind
1970-01-01T01:58:40.120,0.152973,good
1970-01-01T01:58:40.321,0.180709,good
1970-01-01T01:58:40.523,0.300324,good
1970-01-01T01:58:40.725,0.109631,good
1970-01-01T01:58:40.927,0.189349,good
1970-01-01T01:58:41.128,0.131889,good
1970-01-01T01:58:41.330,79.959902,good
1970-01-01T01:58:41.532,0.205103,good
1970-01-01T01:58:42.135,0.358195,good
1970-01-01T01:58:42.337,0.104392,good
1970-01-01T01:58:42.538,1.709591,good
1970-01-01T01:58:42.740,0.448651,good
1970-01-01T01:58:42.942,0.370211,good
1970-01-01T01:58:43.143,0.119426,good
1970-01-01T01:58:43.345,0.409919,good
1970-01-01T01:58:43.546,0.217487,good
1970-01-01T01:58:44.148,0.317984,good
1970-01-01T01:58:44.350,0.120891,good
1970-01-01T01:58:44.551,0.185930,good
1970-01-01T01:58:44.753,0.129907,good
1970-01-01T01:58:44.954,0.290441,good
1970-01-01T01:58:45.156,81.588284,good
1970-01-01T01:58:45.357,0.843402,good
1970-01-01T01:58:45.559,0.222295,good
1970-01-01T01:58:46.161,0.141972,good
1970-01-01T01:58:46.362,0.115274,good
1970-01-01T01:58:46.564,0.113485,good
1970-01-01T01:58:46.766,82.289371,good
1970-01-01T01:58:46.967,0.107973,good
1970-01-01T01:58:47.169,0.242325,good
1970-01-01T01:58:47.370,0.285784,good
1970-01-01T01:58:47.572,0.138391,good
1970-01-01T01:58:47.774,0.146590,bad
1970-01-01T01:58:47.975,0.487153,bad
1970-01-01T01:58:48.176,0.333244,good
1970-01-01T01:58:48.378,0.240869,good
1970-01-01T01:58:48.579,0.242305,good
1970-01-01T01:58:48.781,0.130361,good
1970-01-01T01:58:48.982,0.112195,good
1970-01-01T01:58:49.184,0.143903,good
1970-01-01T01:58:49.385,0.642808,good
1970-01-01T01:58:49.587,0.109403,good
1970-01-01T01:58:49.788,0.551856,bad
1970-01-01T01:58:49.989,0.442471,bad
1970-01-01T01:58:50.190,0.241471,good
1970-01-01T01:58:50.392,0.130905,good
1970-01-01T01:58:50.594,83.040804,good
1970-01-01T01:58:50.795,82.975991,good
1970-01-01T01:58:50.996,0.130291,good
1970-01-01T01:58:51.198,0.096670,good
1970-01-01T01:58:51.399,0.147074,good
1970-01-01T01:58:51.601,0.104677,good
1970-01-01T01:58:51.802,0.240362,bad
1970-01-01T01:58:52.004,0.342371,bad
1970-01-01T01:58:52.205,0.387970,good
1970-01-01T01:58:52.406,0.311246,good
1970-01-01T01:58:52.608,0.195146,good
1970-01-01T01:58:52.809,0.164252,good
1970-01-01T01:58:53.011,0.173464,good
1970-01-01T01:58:53.212,1.165184,good
1970-01-01T01:58:53.414,0.134096,good
1970-01-01T01:58:53.615,0.138626,good
1970-01-01T01:58:53.817,0.148072,bad
1970-01-01T01:58:54.018,0.588591,bad
1970-01-01T01:58:54.220,0.155156,good
1970-01-01T01:58:54.421,0.112851,good
1970-01-01T01:58:54.623,0.186075,good
1970-01-01T01:58:54.824,0.109984,good
1970-01-01T01:58:55.025,0.930077,good
1970-01-01T01:58:55.227,0.241562,good
1970-01-01T01:58:55.429,0.385283,good
1970-01-01T01:58:55.630,0.141293,good
1970-01-01T01:58:55.831,0.562754,bad
1970-01-01T01:58:56.033,11.663957,bad
1970-01-01T01:58:56.234,0.156033,good
1970-01-01T01:58:56.436,0.136380,good
1970-01-01T01:58:56.637,0.162344,good
1970-01-01T01:58:56.839,0.169755,good
1970-01-01T01:58:57.040,0.804628,good
1970-01-01T01:58:57.242,0.168044,good
1970-01-01T01:58:57.443,0.134934,good
1970-01-01T01:58:57.645,0.133984,good
1970-01-01T01:58:57.846,0.187045,bad
1970-01-01T01:58:58.048,0.243277,bad
1970-01-01T01:58:58.249,0.165450,good
1970-01-01T01:58:58.451,0.394189,good
1970-01-01T01:58:58.652,1.180216,good
1970-01-01T01:58:58.854,0.279872,good
1970-01-01T01:58:59.055,0.197728,good
1970-01-01T01:58:59.257,1.059074,good
1970-01-01T01:58:59.458,0.158954,good
1970-01-01T01:58:59.660,0.242284,good
1970-01-01T01:58:59.861,0.139227,bad
1970-01-01T01:59:00.062,0.251599,bad
1970-01-01T01:59:00.264,0.383200,good
1970-01-01T01:59:00.465,0.918589,good
1970-01-01T01:59:00.666,0.201153,good
1970-01-01T01:59:00.867,0.178658,good
1970-01-01T01:59:01.069,0.124069,good
1970-01-01T01:59:01.270,0.174900,good
1970-01-01T01:59:01.472,0.959918,good
1970-01-01T01:59:01.673,0.132802,good
1970-01-01T01:59:01.875,0.529992,bad
1970-01-01T01:59:02.076,0.162110,bad
1970-01-01T01:59:02.277,0.147955,good
1970-01-01T01:59:02.479,0.357311,good
1970-01-01T01:59:02.680,0.153224,good
