timestamp_start_iso,duration_s,kind,prompt_tokens,completion_tokens,total_tokens
1970-01-02T03:59:38.161,0.360879,good,178,101,279
1970-01-02T03:59:38.262,0.068936,good,178,15,193
1970-01-02T03:59:38.364,1.058131,good,178,318,496
1970-01-02T03:59:38.465,0.081571,good,178,20,198
1970-01-02T03:59:38.566,1.216497,good,178,367,545
1970-01-02T03:59:38.667,0.962693,good,178,289,467
1970-01-02T03:59:38.969,0.450278,good,178,123,301
1970-01-02T03:59:39.070,0.179078,good,178,48,226
1970-01-02T03:59:39.171,0.267231,good,178,72,250
1970-01-02T03:59:39.272,0.055860,good,178,10,188
1970-01-02T03:59:39.474,0.052593,good,178,9,187
1970-01-02T03:59:39.677,0.590781,good,178,164,342
1970-01-02T03:59:39.778,0.072972,good,178,16,194
1970-01-02T03:59:39.879,0.138689,good,178,32,210
1970-01-02T03:59:39.980,0.065368,good,178,14,192
1970-01-02T03:59:40.081,0.673515,good,178,184,362
1970-01-02T03:59:40.182,0.470696,good,178,126,304
1970-01-02T03:59:40.283,0.080875,good,178,19,197
1970-01-02T03:59:40.384,0.411986,good,178,113,291
1970-01-02T03:59:40.486,0.074348,good,178,17,195
1970-01-02T03:59:40.587,0.063191,good,178,11,189
1970-01-02T03:59:40.688,0.141838,good,178,41,219
1970-01-02T03:59:40.989,0.083439,good,178,20,198
1970-01-02T03:59:41.091,0.058623,good,178,11,189
1970-01-02T03:59:41.192,0.763932,good,178,210,388
1970-01-02T03:59:41.293,0.085073,good,178,21,199
1970-01-02T03:59:41.394,0.099603,good,178,26,204
1970-01-02T03:59:41.495,0.238263,good,178,60,238
1970-01-02T03:59:41.596,0.084962,good,178,20,198
1970-01-02T03:59:41.697,0.186418,good,178,49,227
1970-01-02T03:59:41.798,0.129480,good,178,30,208
1970-01-02T03:59:41.899,4.685727,good,178,1303,1481
1970-01-02T03:59:42.000,0.054290,good,178,10,188
1970-01-02T03:59:42.101,2.516117,good,178,709,887
1970-01-02T03:59:42.203,0.207785,good,178,56,234
1970-01-02T03:59:42.304,0.187610,good,178,49,227
1970-01-02T03:59:42.405,0.089211,good,178,22,200
1970-01-02T03:59:42.505,0.288872,good,178,78,256
1970-01-02T03:59:42.606,0.057065,good,178,10,188
1970-01-02T03:59:42.707,0.058663,good,178,11,189
1970-01-02T03:59:43.009,0.203812,good,178,54,232
1970-01-02T03:59:43.110,0.262875,good,178,67,245
1970-01-02T03:59:43.211,0.285029,good,178,73,251
1970-01-02T03:59:43.313,0.189418,good,178,48,226
1970-01-02T03:59:43.414,0.082525,good,178,18,196
1970-01-02T03:59:43.515,0.284435,good,178,75,253
1970-01-02T03:59:43.616,0.081826,good,178,19,197
1970-01-02T03:59:43.718,0.070549,good,178,15,193
1970-01-02T03:59:43.920,0.105644,good,178,27,205
