timestamp_iso,user_id,prefill_tokens,decode_tokens
2025-10-21T20:39:11,1,0,0
2025-10-21T20:39:11,2,0,0
2025-10-21T20:39:11,3,0,0
2025-10-21T20:39:11,4,0,0
2025-10-21T20:39:11,5,0,0
2025-10-21T20:39:11,6,0,0
2025-10-21T20:39:11,7,0,0
2025-10-21T20:39:11,8,0,0
2025-10-21T20:39:11,9,0,0
2025-10-21T20:39:11,10,0,0
2025-10-21T20:39:11,11,0,0
2025-10-21T20:39:11,12,0,0
2025-10-21T20:39:11,13,0,0
2025-10-21T20:39:11,14,0,0
2025-10-21T20:39:11,15,0,0
2025-10-21T20:39:11,16,0,0
2025-10-21T20:39:11,17,0,0
2025-10-21T20:39:11,18,0,0
2025-10-21T20:39:11,19,0,0
2025-10-21T20:39:11,20,0,0
2025-10-21T20:39:12,1,559,19
2025-10-21T20:39:12,2,550,6
2025-10-21T20:39:12,3,560,6
2025-10-21T20:39:12,4,557,5
2025-10-21T20:39:12,5,555,5
2025-10-21T20:39:12,6,0,0
2025-10-21T20:39:12,7,0,0
2025-10-21T20:39:12,8,0,0
2025-10-21T20:39:12,9,0,0
2025-10-21T20:39:12,10,0,0
2025-10-21T20:39:12,11,0,0
2025-10-21T20:39:12,12,0,0
2025-10-21T20:39:12,13,0,0
2025-10-21T20:39:12,14,0,0
2025-10-21T20:39:12,15,0,0
2025-10-21T20:39:12,16,0,0
2025-10-21T20:39:12,17,0,0
2025-10-21T20:39:12,18,0,0
2025-10-21T20:39:12,19,0,0
2025-10-21T20:39:12,20,0,0
2025-10-21T20:39:13,1,559,50
2025-10-21T20:39:13,2,550,50
2025-10-21T20:39:13,3,560,50
2025-10-21T20:39:13,4,557,50
2025-10-21T20:39:13,5,555,50
2025-10-21T20:39:13,6,567,50
2025-10-21T20:39:13,7,569,50
2025-10-21T20:39:13,8,546,38
2025-10-21T20:39:13,9,561,25
2025-10-21T20:39:13,10,549,12
2025-10-21T20:39:13,11,0,0
2025-10-21T20:39:13,12,0,0
2025-10-21T20:39:13,13,0,0
2025-10-21T20:39:13,14,0,0
2025-10-21T20:39:13,15,0,0
2025-10-21T20:39:13,16,0,0
2025-10-21T20:39:13,17,0,0
2025-10-21T20:39:13,18,0,0
2025-10-21T20:39:13,19,0,0
2025-10-21T20:39:13,20,0,0
2025-10-21T20:39:14,1,559,50
2025-10-21T20:39:14,2,550,50
2025-10-21T20:39:14,3,560,50
2025-10-21T20:39:14,4,557,50
2025-10-21T20:39:14,5,555,50
2025-10-21T20:39:14,6,567,50
2025-10-21T20:39:14,7,569,50
2025-10-21T20:39:14,8,546,50
2025-10-21T20:39:14,9,561,50
2025-10-21T20:39:14,10,549,50
2025-10-21T20:39:14,11,535,50
2025-10-21T20:39:14,12,572,50
2025-10-21T20:39:14,13,545,39
2025-10-21T20:39:14,14,539,25
2025-10-21T20:39:14,15,554,11
2025-10-21T20:39:14,16,0,0
2025-10-21T20:39:14,17,0,0
2025-10-21T20:39:14,18,0,0
2025-10-21T20:39:14,19,0,0
2025-10-21T20:39:14,20,0,0
2025-10-21T20:39:15,1,559,50
2025-10-21T20:39:15,2,550,50
2025-10-21T20:39:15,3,560,50
2025-10-21T20:39:15,4,557,50
2025-10-21T20:39:15,5,555,50
2025-10-21T20:39:15,6,567,50
2025-10-21T20:39:15,7,569,50
2025-10-21T20:39:15,8,546,50
2025-10-21T20:39:15,9,561,50
2025-10-21T20:39:15,10,549,50
2025-10-21T20:39:15,11,535,50
2025-10-21T20:39:15,12,572,50
2025-10-21T20:39:15,13,545,50
2025-10-21T20:39:15,14,539,50
2025-10-21T20:39:15,15,554,50
2025-10-21T20:39:15,16,0,0
2025-10-21T20:39:15,17,0,0
2025-10-21T20:39:15,18,0,0
2025-10-21T20:39:15,19,0,0
2025-10-21T20:39:15,20,0,0
2025-10-21T20:39:16,1,1097,100
2025-10-21T20:39:16,2,1100,100
2025-10-21T20:39:16,3,1115,88
2025-10-21T20:39:16,4,1106,75
2025-10-21T20:39:16,5,1107,61
2025-10-21T20:39:16,6,567,50
2025-10-21T20:39:16,7,569,50
2025-10-21T20:39:16,8,546,50
2025-10-21T20:39:16,9,561,50
